tokens per iteration: 524,288
DataLoader: total number of tokens: 5,000,000,000 across 50 files
DataLoader: total number of tokens: 100,000,000 across 1 files
compiling the model...
step:0/4768 | val loss 10.967978
step:0/4768 | loss 0.342625 | train_time:7.80s | step_avg:7803.76ms
step:1/4768 | loss 0.338209 | train_time:11.95s | step_avg:5975.99ms
step:2/4768 | loss 0.330373 | train_time:16.10s | step_avg:5367.10ms
step:3/4768 | loss 0.321440 | train_time:20.26s | step_avg:5063.87ms
step:4/4768 | loss 0.314549 | train_time:24.45s | step_avg:4889.54ms
step:5/4768 | loss 0.308459 | train_time:28.63s | step_avg:4771.21ms
step:6/4768 | loss 0.304415 | train_time:32.79s | step_avg:4684.33ms
step:7/4768 | loss 0.300374 | train_time:37.01s | step_avg:4625.86ms
step:8/4768 | loss 0.299403 | train_time:41.17s | step_avg:4574.55ms
step:9/4768 | loss 0.296228 | train_time:45.33s | step_avg:4533.42ms
step:10/4768 | loss 0.294932 | train_time:49.50s | step_avg:4500.11ms
step:11/4768 | loss 0.293196 | train_time:53.68s | step_avg:4473.41ms
step:12/4768 | loss 0.290300 | train_time:57.88s | step_avg:4452.64ms
step:13/4768 | loss 0.287131 | train_time:62.05s | step_avg:4432.21ms
step:14/4768 | loss 0.285165 | train_time:66.27s | step_avg:4418.02ms
step:15/4768 | loss 0.282361 | train_time:70.44s | step_avg:4402.31ms
step:16/4768 | loss 0.279703 | train_time:74.61s | step_avg:4388.75ms
step:17/4768 | loss 0.276563 | train_time:78.78s | step_avg:4376.73ms
step:18/4768 | loss 0.274864 | train_time:82.96s | step_avg:4366.17ms
step:19/4768 | loss 0.270576 | train_time:87.18s | step_avg:4358.99ms
step:20/4768 | loss 0.267876 | train_time:91.35s | step_avg:4350.12ms
step:21/4768 | loss 0.265415 | train_time:95.56s | step_avg:4343.78ms
step:22/4768 | loss 0.260390 | train_time:99.75s | step_avg:4336.92ms
step:23/4768 | loss 0.258875 | train_time:103.92s | step_avg:4330.02ms
step:24/4768 | loss 0.254946 | train_time:108.09s | step_avg:4323.72ms
step:25/4768 | loss 0.253210 | train_time:112.27s | step_avg:4318.14ms
step:26/4768 | loss 0.250350 | train_time:116.49s | step_avg:4314.44ms
step:27/4768 | loss 0.246756 | train_time:120.66s | step_avg:4309.41ms
step:28/4768 | loss 0.245892 | train_time:124.87s | step_avg:4305.93ms
step:29/4768 | loss 0.243660 | train_time:129.06s | step_avg:4301.92ms
step:30/4768 | loss 0.241501 | train_time:133.23s | step_avg:4297.88ms
step:31/4768 | loss 0.237707 | train_time:137.41s | step_avg:4294.06ms
step:32/4768 | loss 0.236289 | train_time:141.59s | step_avg:4290.49ms
step:33/4768 | loss 0.234277 | train_time:145.80s | step_avg:4288.10ms
step:34/4768 | loss 0.234802 | train_time:149.98s | step_avg:4285.19ms
step:35/4768 | loss 0.231697 | train_time:154.18s | step_avg:4282.78ms
step:36/4768 | loss 0.230791 | train_time:158.38s | step_avg:4280.63ms
step:37/4768 | loss 0.228807 | train_time:162.56s | step_avg:4277.96ms
step:38/4768 | loss 0.229120 | train_time:166.74s | step_avg:4275.45ms
step:39/4768 | loss 0.226844 | train_time:170.92s | step_avg:4273.04ms
step:40/4768 | loss 0.226498 | train_time:175.13s | step_avg:4271.43ms
step:41/4768 | loss 0.224578 | train_time:179.32s | step_avg:4269.53ms
step:42/4768 | loss 0.226354 | train_time:183.51s | step_avg:4267.69ms
step:43/4768 | loss 0.223815 | train_time:187.73s | step_avg:4266.67ms
step:44/4768 | loss 0.222909 | train_time:191.91s | step_avg:4264.77ms
step:45/4768 | loss 0.223384 | train_time:196.10s | step_avg:4262.97ms
step:46/4768 | loss 0.222437 | train_time:200.28s | step_avg:4261.24ms
step:47/4768 | loss 0.222568 | train_time:204.49s | step_avg:4260.13ms
step:48/4768 | loss 0.220174 | train_time:208.69s | step_avg:4258.88ms
step:49/4768 | loss 0.219783 | train_time:212.87s | step_avg:4257.38ms
step:50/4768 | loss 0.217682 | train_time:217.10s | step_avg:4256.85ms
step:51/4768 | loss 0.217976 | train_time:221.28s | step_avg:4255.45ms
step:52/4768 | loss 0.217543 | train_time:225.47s | step_avg:4254.09ms
step:53/4768 | loss 0.216757 | train_time:230.35s | step_avg:4265.73ms
step:54/4768 | loss 0.217183 | train_time:234.73s | step_avg:4267.76ms
step:55/4768 | loss 0.213994 | train_time:239.07s | step_avg:4269.06ms
step:56/4768 | loss 0.213907 | train_time:243.37s | step_avg:4269.73ms
step:57/4768 | loss 0.214271 | train_time:247.83s | step_avg:4272.85ms
step:58/4768 | loss 0.211731 | train_time:252.20s | step_avg:4274.50ms
step:59/4768 | loss 0.212232 | train_time:256.51s | step_avg:4275.19ms
step:60/4768 | loss 0.211822 | train_time:260.77s | step_avg:4274.94ms
step:61/4768 | loss 0.210350 | train_time:265.09s | step_avg:4275.65ms
step:62/4768 | loss 0.209727 | train_time:269.45s | step_avg:4276.94ms
step:63/4768 | loss 0.211832 | train_time:273.69s | step_avg:4276.47ms
step:64/4768 | loss 0.207730 | train_time:277.96s | step_avg:4276.33ms
step:65/4768 | loss 0.208338 | train_time:282.15s | step_avg:4274.96ms
step:66/4768 | loss 0.208218 | train_time:286.34s | step_avg:4273.68ms
step:67/4768 | loss 0.209583 | train_time:290.52s | step_avg:4272.37ms
step:68/4768 | loss 0.207411 | train_time:294.92s | step_avg:4274.19ms
step:69/4768 | loss 0.207172 | train_time:299.13s | step_avg:4273.36ms
step:70/4768 | loss 0.205874 | train_time:303.34s | step_avg:4272.33ms
step:71/4768 | loss 0.205775 | train_time:307.86s | step_avg:4275.86ms
step:72/4768 | loss 0.206229 | train_time:312.12s | step_avg:4275.55ms
step:73/4768 | loss 0.204782 | train_time:316.33s | step_avg:4274.68ms
step:74/4768 | loss 0.204938 | train_time:320.71s | step_avg:4276.18ms
step:75/4768 | loss 0.203608 | train_time:324.98s | step_avg:4276.02ms
step:76/4768 | loss 0.205682 | train_time:329.21s | step_avg:4275.41ms
step:77/4768 | loss 0.204280 | train_time:333.57s | step_avg:4276.53ms
step:78/4768 | loss 0.196627 | train_time:337.96s | step_avg:4277.96ms
step:79/4768 | loss 0.201657 | train_time:342.35s | step_avg:4279.43ms
step:80/4768 | loss 0.200713 | train_time:346.57s | step_avg:4278.70ms
step:81/4768 | loss 0.203808 | train_time:350.89s | step_avg:4279.10ms
step:82/4768 | loss 0.202036 | train_time:355.22s | step_avg:4279.80ms
step:83/4768 | loss 0.200697 | train_time:359.54s | step_avg:4280.24ms
step:84/4768 | loss 0.199733 | train_time:363.84s | step_avg:4280.42ms
step:85/4768 | loss 0.199222 | train_time:368.23s | step_avg:4281.76ms
step:86/4768 | loss 0.200613 | train_time:372.47s | step_avg:4281.28ms
step:87/4768 | loss 0.200294 | train_time:376.78s | step_avg:4281.63ms
step:88/4768 | loss 0.200917 | train_time:381.15s | step_avg:4282.54ms
